,num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,flight_hour_range
0,2,Internet,RoundTrip,262,19,7,6,AKLDEL,New Zealand,1,0,0,5.52,0,Brief
1,1,Internet,RoundTrip,112,20,3,6,AKLDEL,New Zealand,0,0,0,5.52,0,Brief
2,2,Internet,RoundTrip,243,22,17,3,AKLDEL,India,1,1,0,5.52,0,Brief
3,1,Internet,RoundTrip,96,31,4,6,AKLDEL,New Zealand,0,0,1,5.52,0,Brief
4,2,Internet,RoundTrip,68,22,15,3,AKLDEL,India,1,0,1,5.52,0,Brief
5,1,Internet,RoundTrip,3,48,20,4,AKLDEL,New Zealand,1,0,1,5.52,0,Brief
6,3,Internet,RoundTrip,201,33,6,4,AKLDEL,New Zealand,1,0,1,5.52,0,Brief
7,2,Internet,RoundTrip,238,19,14,1,AKLDEL,India,1,0,1,5.52,0,Brief
8,1,Internet,RoundTrip,80,22,4,1,AKLDEL,New Zealand,0,0,1,5.52,0,Brief
9,1,Mobile,RoundTrip,378,30,12,7,AKLDEL,India,0,0,0,5.52,0,Brief
10,2,Internet,RoundTrip,185,25,14,2,AKLDEL,United Kingdom,1,1,1,5.52,0,Brief
11,1,Internet,RoundTrip,8,43,2,6,AKLDEL,New Zealand,1,1,1,5.52,0,Brief
12,4,Internet,RoundTrip,265,24,19,1,AKLDEL,New Zealand,1,0,1,5.52,0,Brief
13,1,Internet,RoundTrip,185,17,14,5,AKLDEL,India,0,0,0,5.52,0,Brief
14,1,Internet,RoundTrip,245,34,4,2,AKLDEL,New Zealand,1,1,1,5.52,0,Brief
15,1,Internet,RoundTrip,192,18,14,4,AKLDEL,India,1,0,0,5.52,0,Brief
16,1,Internet,RoundTrip,259,37,6,7,AKLDEL,India,0,0,0,5.52,0,Brief
17,1,Internet,RoundTrip,19,29,10,6,AKLDEL,New Zealand,0,0,1,5.52,0,Brief
18,1,Internet,RoundTrip,67,155,8,7,AKLDEL,New Zealand,1,0,0,5.52,0,Brief
19,1,Internet,RoundTrip,351,17,3,7,AKLHGH,China,0,0,0,5.07,0,Brief
20,2,Internet,CircleTrip,228,29,23,3,AKLHND,New Zealand,1,0,0,7.57,0,Brief
21,1,Internet,RoundTrip,21,88,9,3,AKLICN,South Korea,1,0,1,6.62,0,Brief
22,2,Internet,RoundTrip,23,19,8,1,AKLICN,New Zealand,1,0,1,6.62,0,Brief
23,2,Internet,RoundTrip,25,27,13,5,AKLICN,South Korea,1,0,1,6.62,0,Brief
24,1,Internet,RoundTrip,16,21,6,4,AKLICN,New Zealand,1,0,1,6.62,0,Brief
25,1,Internet,RoundTrip,66,20,7,4,AKLICN,South Korea,1,0,0,6.62,0,Brief
26,1,Internet,RoundTrip,51,28,6,5,AKLICN,South Korea,0,0,0,6.62,0,Brief
27,2,Internet,RoundTrip,37,24,7,1,AKLICN,New Zealand,1,0,0,6.62,0,Brief
28,1,Internet,RoundTrip,101,19,11,2,AKLICN,South Korea,1,0,1,6.62,0,Brief
29,1,Internet,RoundTrip,19,47,2,2,AKLICN,New Zealand,1,0,1,6.62,0,Brief
30,1,Internet,RoundTrip,16,35,23,3,AKLICN,New Zealand,1,1,0,6.62,0,Brief
31,2,Internet,RoundTrip,7,82,4,4,AKLICN,South Korea,1,0,1,6.62,0,Brief
32,1,Internet,RoundTrip,5,27,0,5,AKLICN,New Zealand,0,0,1,6.62,0,Brief
33,1,Internet,RoundTrip,185,34,4,1,AKLICN,New Zealand,1,0,1,6.62,0,Brief
34,1,Internet,RoundTrip,21,22,7,5,AKLICN,New Zealand,1,1,0,6.62,0,Brief
35,1,Internet,RoundTrip,7,27,4,3,AKLICN,New Zealand,0,0,1,6.62,0,Brief
36,1,Internet,RoundTrip,33,22,14,6,AKLICN,South Korea,1,0,0,6.62,0,Brief
37,6,Internet,RoundTrip,20,22,3,5,AKLICN,South Korea,1,1,1,6.62,0,Brief
38,2,Internet,RoundTrip,56,21,7,4,AKLICN,New Zealand,1,0,0,6.62,0,Brief
39,1,Internet,RoundTrip,3,33,1,1,AKLICN,South Korea,1,0,1,6.62,0,Brief
40,1,Internet,RoundTrip,13,26,7,1,AKLICN,South Korea,1,0,0,6.62,0,Brief
41,1,Internet,RoundTrip,71,90,7,4,AKLICN,South Korea,1,1,1,6.62,0,Brief
42,2,Internet,RoundTrip,346,23,8,1,AKLICN,South Korea,1,0,1,6.62,0,Brief
43,1,Internet,RoundTrip,9,84,7,3,AKLICN,New Zealand,1,0,0,6.62,0,Brief
44,1,Internet,RoundTrip,65,22,14,4,AKLICN,South Korea,1,0,0,6.62,0,Brief
45,1,Mobile,RoundTrip,221,61,2,7,AKLICN,New Zealand,0,0,0,6.62,0,Brief
46,1,Internet,RoundTrip,65,18,14,3,AKLICN,South Korea,0,0,1,6.62,0,Brief
47,2,Internet,RoundTrip,7,40,7,3,AKLICN,South Korea,1,0,1,6.62,0,Brief
48,1,Internet,RoundTrip,107,24,14,5,AKLICN,South Korea,0,1,0,6.62,0,Brief
49,1,Internet,RoundTrip,14,27,10,3,AKLICN,New Zealand,0,0,0,6.62,0,Brief
50,1,Internet,RoundTrip,77,96,9,2,AKLICN,New Zealand,1,0,1,6.62,0,Brief
51,1,Internet,RoundTrip,65,17,9,3,AKLICN,New Zealand,1,0,0,6.62,0,Brief
52,1,Internet,RoundTrip,24,25,8,4,AKLICN,South Korea,1,0,1,6.62,0,Brief
53,1,Internet,RoundTrip,47,69,2,3,AKLICN,South Korea,1,1,1,6.62,0,Brief
54,1,Internet,RoundTrip,22,89,14,2,AKLICN,South Korea,1,0,1,6.62,0,Brief
55,2,Internet,RoundTrip,11,25,4,4,AKLICN,South Korea,1,0,1,6.62,0,Brief
56,1,Internet,RoundTrip,35,25,6,2,AKLICN,South Korea,0,0,1,6.62,0,Brief
57,1,Internet,RoundTrip,272,21,14,2,AKLICN,New Zealand,1,0,0,6.62,0,Brief
58,1,Internet,RoundTrip,20,18,10,1,AKLICN,New Zealand,0,0,0,6.62,0,Brief
59,1,Internet,RoundTrip,250,23,9,7,AKLICN,South Korea,1,0,1,6.62,0,Brief
60,1,Internet,RoundTrip,161,58,2,6,AKLICN,South Korea,1,0,1,6.62,0,Brief
61,4,Internet,RoundTrip,128,21,9,1,AKLICN,New Zealand,1,1,0,6.62,0,Brief
62,1,Internet,RoundTrip,190,27,14,7,AKLICN,South Korea,1,0,1,6.62,0,Brief
63,4,Internet,RoundTrip,311,27,6,6,AKLICN,New Zealand,0,1,0,6.62,0,Brief
64,1,Internet,RoundTrip,27,56,7,5,AKLICN,South Korea,1,0,1,6.62,0,Brief
65,2,Internet,RoundTrip,314,43,10,7,AKLICN,New Zealand,0,0,0,6.62,0,Brief
66,1,Internet,RoundTrip,25,29,11,3,AKLICN,South Korea,1,0,1,6.62,0,Brief
67,1,Internet,RoundTrip,102,110,6,2,AKLICN,South Korea,1,0,0,6.62,0,Brief
68,1,Internet,RoundTrip,24,19,8,1,AKLICN,South Korea,1,0,1,6.62,0,Brief
69,1,Internet,RoundTrip,2,165,3,1,AKLKIX,Japan,1,0,0,7.0,0,Brief
70,1,Internet,RoundTrip,26,111,13,1,AKLKIX,Japan,1,0,1,7.0,0,Brief
71,1,Internet,RoundTrip,32,34,23,7,AKLKIX,New Zealand,0,0,0,7.0,0,Brief
72,2,Internet,RoundTrip,57,38,5,7,AKLKIX,New Zealand,1,0,0,7.0,0,Brief
73,1,Internet,RoundTrip,198,207,10,7,AKLKIX,Japan,1,0,1,7.0,0,Brief
74,1,Internet,RoundTrip,23,27,11,6,AKLKIX,Japan,0,0,0,7.0,0,Brief
75,1,Internet,RoundTrip,33,20,6,5,AKLKTM,New Zealand,1,0,0,4.75,0,Brief
76,2,Internet,RoundTrip,120,91,3,1,AKLKTM,New Zealand,1,0,1,4.75,0,Brief
77,2,Internet,RoundTrip,69,34,4,4,AKLKTM,New Zealand,1,0,0,4.75,0,Brief
78,1,Mobile,CircleTrip,281,18,3,3,AKLKTM,New Zealand,1,0,0,4.75,0,Brief
79,1,Internet,CircleTrip,282,18,19,2,AKLKTM,New Zealand,1,0,0,4.75,0,Brief
80,1,Internet,RoundTrip,69,21,3,3,AKLKTM,New Zealand,1,0,0,4.75,0,Brief
81,1,Internet,OneWay,67,1,10,2,AKLKTM,New Zealand,1,0,0,4.75,0,Brief
82,1,Internet,RoundTrip,15,31,17,1,AKLKUL,Malaysia,0,0,0,8.83,1,Brief
83,1,Internet,RoundTrip,31,274,10,2,AKLKUL,Malaysia,1,0,0,8.83,0,Brief
84,1,Internet,RoundTrip,316,35,16,2,AKLKUL,Malaysia,1,0,0,8.83,0,Brief
85,2,Internet,RoundTrip,232,17,3,2,AKLKUL,Malaysia,1,1,1,8.83,0,Brief
86,1,Internet,RoundTrip,156,19,14,1,AKLKUL,Malaysia,1,0,0,8.83,1,Brief
87,1,Internet,RoundTrip,196,44,23,2,AKLKUL,New Zealand,1,0,0,8.83,0,Brief
88,1,Internet,RoundTrip,283,38,9,1,AKLKUL,New Zealand,1,0,0,8.83,0,Brief
89,1,Internet,RoundTrip,34,24,5,5,AKLKUL,New Zealand,1,0,0,8.83,0,Brief
90,1,Mobile,RoundTrip,63,57,8,1,AKLKUL,New Zealand,0,0,0,8.83,0,Brief
91,1,Internet,RoundTrip,5,18,4,2,AKLKUL,New Zealand,0,0,0,8.83,0,Brief
92,1,Internet,RoundTrip,6,106,19,2,AKLKUL,Malaysia,0,0,0,8.83,0,Brief
93,1,Internet,RoundTrip,227,68,2,5,AKLKUL,Malaysia,1,1,0,8.83,0,Brief
94,1,Internet,RoundTrip,181,87,2,2,AKLKUL,Singapore,1,0,1,8.83,1,Brief
95,1,Internet,RoundTrip,8,33,3,2,AKLKUL,New Zealand,0,0,0,8.83,0,Brief
96,2,Internet,RoundTrip,138,35,19,5,AKLKUL,Switzerland,1,0,1,8.83,0,Brief
97,1,Internet,RoundTrip,134,37,20,3,AKLKUL,New Zealand,0,1,0,8.83,0,Brief
98,2,Internet,RoundTrip,8,29,18,4,AKLKUL,New Zealand,1,0,0,8.83,0,Brief
99,1,Internet,RoundTrip,23,51,13,5,AKLKUL,New Zealand,1,0,1,8.83,0,Brief
100,1,Mobile,RoundTrip,57,21,1,7,AKLKUL,Malaysia,1,1,1,8.83,0,Brief
101,2,Internet,RoundTrip,85,19,0,1,AKLKUL,New Zealand,1,1,0,8.83,0,Brief
102,1,Internet,RoundTrip,65,31,23,7,AKLKUL,New Zealand,0,0,0,8.83,0,Brief
103,1,Internet,OneWay,27,1,13,2,AKLKUL,New Zealand,1,1,0,8.83,0,Brief
104,1,Internet,RoundTrip,93,196,8,2,AKLKUL,Germany,1,0,0,8.83,0,Brief
